ConfigurationId_x,ProjectName,Coverage_x,ConfigurationId_y,Coverage_y
rt0_rndch,isort,0.9848484848484845,rt0.2_rndch,0.9848484848484844
rt0_rndch,isort,0.9848484848484845,rt0.3_rndch,0.9848484848484844
rt0_rndch,isort,0.9848484848484845,rt0_rndch,0.9848484848484845
no_deeptyper,mimesis,0.99609375,no_deeptyper,0.99609375
no_deeptyper,mimesis,0.99609375,rt0.1_rndch,0.99609375
no_deeptyper,mimesis,0.99609375,rt0.2_rndch,0.99609375
no_deeptyper,mimesis,0.99609375,rt0.3_rndch,0.99609375
no_deeptyper,mimesis,0.99609375,rt0_rndch,0.99609375
rt0.1_rndch,mimesis,0.99609375,no_deeptyper,0.99609375
rt0.1_rndch,mimesis,0.99609375,rt0.1_rndch,0.99609375
rt0.1_rndch,mimesis,0.99609375,rt0.2_rndch,0.99609375
rt0.1_rndch,mimesis,0.99609375,rt0.3_rndch,0.99609375
rt0.1_rndch,mimesis,0.99609375,rt0_rndch,0.99609375
rt0.2_rndch,mimesis,0.99609375,no_deeptyper,0.99609375
rt0.2_rndch,mimesis,0.99609375,rt0.1_rndch,0.99609375
rt0.2_rndch,mimesis,0.99609375,rt0.2_rndch,0.99609375
rt0.2_rndch,mimesis,0.99609375,rt0.3_rndch,0.99609375
rt0.2_rndch,mimesis,0.99609375,rt0_rndch,0.99609375
rt0.3_rndch,mimesis,0.99609375,no_deeptyper,0.99609375
rt0.3_rndch,mimesis,0.99609375,rt0.1_rndch,0.99609375
rt0.3_rndch,mimesis,0.99609375,rt0.2_rndch,0.99609375
rt0.3_rndch,mimesis,0.99609375,rt0.3_rndch,0.99609375
rt0.3_rndch,mimesis,0.99609375,rt0_rndch,0.99609375
rt0_rndch,mimesis,0.99609375,no_deeptyper,0.99609375
rt0_rndch,mimesis,0.99609375,rt0.1_rndch,0.99609375
rt0_rndch,mimesis,0.99609375,rt0.2_rndch,0.99609375
rt0_rndch,mimesis,0.99609375,rt0.3_rndch,0.99609375
rt0_rndch,mimesis,0.99609375,rt0_rndch,0.99609375
no_deeptyper,py-backwards,0.6148303523994348,no_deeptyper,0.6148303523994348
no_deeptyper,py-backwards,0.6148303523994348,rt0.1_rndch,0.6406003995057719
no_deeptyper,py-backwards,0.6148303523994348,rt0.2_rndch,0.6299320859620962
no_deeptyper,py-backwards,0.6148303523994348,rt0.3_rndch,0.6307251084553737
no_deeptyper,py-backwards,0.6148303523994348,rt0_rndch,0.6312360965757967
rt0.1_rndch,py-backwards,0.6406003995057719,no_deeptyper,0.6148303523994348
rt0.1_rndch,py-backwards,0.6406003995057719,rt0.1_rndch,0.6406003995057719
rt0.1_rndch,py-backwards,0.6406003995057719,rt0.2_rndch,0.6299320859620962
rt0.1_rndch,py-backwards,0.6406003995057719,rt0.3_rndch,0.6307251084553737
rt0.1_rndch,py-backwards,0.6406003995057719,rt0_rndch,0.6312360965757967
rt0.2_rndch,py-backwards,0.6299320859620962,no_deeptyper,0.6148303523994348
rt0.2_rndch,py-backwards,0.6299320859620962,rt0.1_rndch,0.6406003995057719
rt0.2_rndch,py-backwards,0.6299320859620962,rt0.2_rndch,0.6299320859620962
rt0.2_rndch,py-backwards,0.6299320859620962,rt0.3_rndch,0.6307251084553737
rt0.2_rndch,py-backwards,0.6299320859620962,rt0_rndch,0.6312360965757967
